"","Q","Student","Stage2group","Stage4group","Stage1ans","Stage3ans","Stage2ans","Stage4ans","Stage1","Stage2","Stage3","Stage4","ZippGroup","Stage1score","Stage2score","Stage3score","Stage4score"
"1","Q1","Student10","W3T1","W11T1","B","C","B","C",TRUE,TRUE,TRUE,TRUE,4,1,1,1,1
"2","Q1","Student14","W3T1","W11T1","D","C","B","C",FALSE,TRUE,TRUE,TRUE,2,0,1,1,1
"3","Q1","Student9","W3T1","W11T1","B","C","B","C",TRUE,TRUE,TRUE,TRUE,4,1,1,1,1
"5","Q1","Student3","W3T2","W11T2","C","C","DEB","C",FALSE,FALSE,TRUE,TRUE,1,0,0,1,1
"6","Q1","Student5","W3T2","W11T2","D","C","DEB","C",FALSE,FALSE,TRUE,TRUE,1,0,0,1,1
"7","Q1","Student16","W3T2","W11T2","D","B","DEB","C",FALSE,FALSE,FALSE,TRUE,1,0,0,0,1
"8","Q1","Student6","W3T2","W11T2","E","C","DEB","C",FALSE,FALSE,TRUE,TRUE,1,0,0,1,1
"9","Q1","Student12","W3T3","W11T3","B","C","B","C",TRUE,TRUE,TRUE,TRUE,4,1,1,1,1
"10","Q1","Student15","W3T3","W11T3","B","C","B","C",TRUE,TRUE,TRUE,TRUE,4,1,1,1,1
"11","Q1","Student4","W3T3","W11T3","D","B","B","C",FALSE,TRUE,FALSE,TRUE,2,0,1,0,1
"12","Q1","Student7","W3T4","W11T3","D","B","B","C",FALSE,TRUE,FALSE,TRUE,2,0,1,0,1
"13","Q1","Student20","W3T4","W11T4","D","D","B","C",FALSE,TRUE,FALSE,TRUE,2,0,1,0,1
"14","Q1","Student1","W3T5","W11T4","D","C","B","C",FALSE,TRUE,TRUE,TRUE,2,0,1,1,1
"15","Q1","Student19","W3T5","W11T4","D","C","B","C",FALSE,TRUE,TRUE,TRUE,2,0,1,1,1
"16","Q1","Student21","W3T5","W11T4","B","D","B","C",TRUE,TRUE,FALSE,TRUE,4,1,1,0,1
"17","Q1","Student2","W3T5","W11T4","B","C","B","C",TRUE,TRUE,TRUE,TRUE,4,1,1,1,1
"18","Q1","Student13","W3T3","","D",NA,"B",NA,FALSE,TRUE,NA,NA,2,0,1,NA,NA
"19","Q1","Student18","W3T4","","D",NA,"B",NA,FALSE,TRUE,NA,NA,2,0,1,NA,NA
"20","Q1","Student8","W3T4","","B",NA,"B",NA,TRUE,TRUE,NA,NA,4,1,1,NA,NA
"22","Q1","Student17","W3T1","","C",NA,"B",NA,FALSE,TRUE,NA,NA,2,0,1,NA,NA
"25","Q2","Student10","W2T1","W11T1","E","E","EA","EB",FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
"26","Q2","Student14","W2T1","W11T1","E","E","EA","EB",FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
"27","Q2","Student9","W2T1","W11T1","D","E","EA","EB",FALSE,FALSE,FALSE,FALSE,1,0,0,0,0
"28","Q2","Student11","W2T1","W11T1","E","B","EA","EB",FALSE,FALSE,TRUE,FALSE,1,0,0,1,0
"29","Q2","Student3","W2T2","W11T2","E","B","A","B",FALSE,TRUE,TRUE,TRUE,2,0,1,1,1
"30","Q2","Student5","W2T2","W11T2","A","B","A","B",TRUE,TRUE,TRUE,TRUE,4,1,1,1,1
"31","Q2","Student16","W2T2","W11T2","E","B","A","B",FALSE,TRUE,TRUE,TRUE,2,0,1,1,1
"32","Q2","Student6","W2T2","W11T2","A","A","A","B",TRUE,TRUE,FALSE,TRUE,4,1,1,0,1
"33","Q2","Student12","W2T3","W11T3","A","E","EA","B",TRUE,FALSE,FALSE,TRUE,3,1,0,0,1
"34","Q2","Student15","W2T3","W11T3","C","B","EA","B",FALSE,FALSE,TRUE,TRUE,1,0,0,1,1
"35","Q2","Student4","W2T3","W11T3","E","B","EA","B",FALSE,FALSE,TRUE,TRUE,1,0,0,1,1
"36","Q2","Student7","W2T4","W11T3","C","A","EA","B",FALSE,FALSE,FALSE,TRUE,1,0,0,0,1
"37","Q2","Student20","W2T4","W11T4","A","B","EA","B",TRUE,FALSE,TRUE,TRUE,3,1,0,1,1
"38","Q2","Student1","W2T5","W11T4","E","B","CE","B",FALSE,FALSE,TRUE,TRUE,1,0,0,1,1
"39","Q2","Student19","W2T5","W11T4","C","B","CE","B",FALSE,FALSE,TRUE,TRUE,1,0,0,1,1
"40","Q2","Student21","W2T5","W11T4","C","E","CE","B",FALSE,FALSE,FALSE,TRUE,1,0,0,0,1
"41","Q2","Student2","W2T5","W11T4","A","B","CE","B",TRUE,FALSE,TRUE,TRUE,3,1,0,1,1
