AnonKey,Wk1Gp,Wk1Q1,Wk1Q2,Wk1Q3,Wk1Q4,Wk1Q5,Wk2Gp,Wk2Q1,Wk2Q2,Wk2Q3,Wk2Q4,Wk2Q5,Wk3Gp,Wk3Q1,Wk3Q2,Wk3Q3,Wk3Q4,Wk3Q5,Wk5Gp,Wk5Q1,Wk5Q2,Wk5Q3,Wk5Q4,Wk5Q5,Wk6Gp,Wk6Q1,Wk6Q2,Wk6Q3,Wk6Q4,Wk6Q5,Wk7Gp,Wk7Q1,Wk7Q2,Wk7Q3,Wk7Q4,Wk7Q5,Wk8Gp,Wk8Q1,Wk8Q2,Wk8Q3,Wk8Q4,Wk8Q5,Wk9Gp,Wk9Q1,Wk9Q2,Wk9Q3,Wk9Q4,Wk9Q5,Wk10Gp,Wk10Q1,Wk10Q2,Wk10Q3,Wk10Q4,Wk10Q5,Wk11Gp,Wk11Q1,Wk11Q2,Wk11Q3,Wk11Q4,Wk11Q5,Wk11Q6,Wk11Q7,Wk11Q8,Wk11Q9,Wk11Q10
KEY,,C,B,D,E,B,,D,D,E,A,A,,B,A,B,D,E,,B,E,C,A,C,,A,D,A,E,D,,C,B,D,E,B,,D,D,E,A,A,,B,E,C,A,C,,A,B,C,E,D,,C,B,A,E,D,D,A,B,D,B
Student10,W1T1,C,B,B,E,C,W2T1,D,C,E,A,E,W3T1,B,A,B,C,C,W5T3,D,E,C,C,D,W6T1,D,A,C,B,D,W7T1,E,A,B,A,B,W8T1,D,D,B,D,A,W9T1,E,A,C,A,C,,,,,,,W11T1,C,E,C,D,E,D,B,B,D,C
Student14,W1T1,C,B,D,A,A,W2T1,C,D,C,A,E,W3T1,D,A,D,E,C,,,,,,,,,,,,,W7T1,A,B,E,D,B,W8T1,C,D,E,C,A,W9T1,E,C,C,A,C,W10T1,A,C,D,B,D,W11T1,C,E,C,B,E,E,,B,D,A
Student9,W1T1,C,B,D,E,D,W2T1,C,C,B,A,D,W3T1,B,A,B,B,C,,,,,,,W6T1,D,D,A,C,D,,,,,,,W8T1,D,E,C,C,E,W9T1,A,C,C,A,E,W10T1,B,B,C,B,D,W11T1,C,E,A,E,C,D,E,D,D,B
Student11,W1T1,C,B,C,A,E,W2T1,B,A,E,A,E,,,,,,,W5T1,B,E,C,E,D,W6T1,C,C,B,E,D,W7T1,D,E,C,E,E,,,,,,,W9T1,B,C,C,A,C,W10T1,E,E,B,B,C,W11T1,C,B,B,E,B,D,A,E,D,B
Student3,W1T2,B,B,D,E,D,W2T2,C,B,B,A,E,W3T2,C,A,B,C,E,W5T2,B,E,C,B,C,W6T2,D,D,A,E,D,W7T2,A,B,D,C,B,W8T2,D,B,B,D,B,W9T2,B,C,C,A,C,W10T1,A,B,D,E,D,W11T2,C,B,A,D,B,D,B,E,D,B
Student5,W1T2,C,B,D,B,C,W2T2,A,D,C,A,A,W3T2,D,A,A,E,C,W5T2,A,E,C,C,C,W6T2,C,E,D,C,D,W7T2,E,B,B,E,B,W8T2,D,A,B,A,D,W9T2,B,A,C,A,C,,,,,,,W11T2,C,B,C,E,D,D,B,B,D,B
Student16,W1T2,C,B,D,D,B,W2T2,A,D,A,B,E,W3T2,D,B,B,B,C,W5T2,A,E,C,A,D,W6T2,A,D,A,B,D,,,,,,,W8T2,A,B,D,A,D,W9T2,D,E,B,A,C,W10T1,D,C,B,E,D,W11T2,B,B,C,E,B,D,C,B,D,B
Student6,W1T2,C,B,D,E,A,W2T2,A,C,C,A,A,W3T2,E,A,D,D,E,W5T2,A,E,C,D,C,W6T2,E,C,D,C,D,W7T2,C,B,E,A,B,,,,,,,W9T2,D,E,A,A,B,,,,,,,W11T2,C,A,C,E,D,D,A,B,A,B
Student12,W1T3,C,B,D,E,B,W2T3,D,C,C,C,A,W3T3,B,E,B,E,E,W5T3,B,B,C,C,D,W6T3,A,D,A,C,D,W7T3,C,B,C,A,B,W8T3,C,E,B,B,A,W9T3,B,E,C,A,C,,,,,,,W11T3,C,E,A,E,D,D,A,B,D,C
Student15,W1T3,B,E,D,E,B,W2T3,A,D,E,C,C,W3T3,B,D,D,D,E,W5T3,E,D,A,C,A,W6T3,D,B,E,E,D,,,,,,,W8T3,D,D,C,A,A,W9T3,D,C,C,B,A,W10T2,C,C,D,E,C,W11T3,C,B,C,E,D,E,B,E,D,D
Student4,W1T3,C,B,E,C,C,W2T3,D,C,A,A,E,W3T3,D,C,B,B,E,W5T3,C,E,B,C,C,,,,,,,,,,,,,W8T3,D,A,D,A,A,W9T3,E,B,B,B,A,W10T2,C,C,E,B,A,W11T3,B,B,A,E,D,A,C,B,A,B
Student7,W1T4,C,B,D,E,E,W2T4,C,C,E,A,C,W3T4,D,A,D,B,D,W5T4,B,B,D,D,C,,,,,,,W7T4,C,A,C,A,B,W8T4,D,D,E,A,A,W9T4,B,E,C,E,A,,,,,,,W11T3,B,A,C,E,D,B,B,D,A,B
Student20,W1T4,C,B,D,A,B,W2T4,A,D,E,A,A,W3T4,D,A,D,E,C,W5T4,B,E,B,D,B,W6T4,A,D,A,E,D,W7T4,C,B,A,D,E,W8T4,D,D,D,A,A,W9T4,B,E,C,A,C,W10T2,B,B,E,E,D,W11T4,D,B,B,D,B,D,A,B,D,D
Student1,W1T5,C,B,D,E,A,W2T5,A,C,E,A,E,W3T5,D,A,D,E,C,W5T1,D,C,D,A,B,W6T5,A,D,A,E,D,W7T5,B,B,D,E,B,W8T5,D,D,B,A,A,W9T5,D,D,C,A,C,W10T3,C,D,E,B,D,W11T4,C,B,A,E,D,D,A,B,D,B
Student19,W1T5,C,D,C,E,B,W2T5,C,E,E,A,C,W3T5,D,A,D,E,E,W5T1,C,E,D,C,D,W6T5,A,D,A,E,D,W7T5,C,B,E,E,B,W8T5,D,D,C,A,A,W9T5,E,B,C,A,C,W10T3,B,C,A,C,C,W11T4,C,B,C,E,D,D,A,B,D,D
Student21,W1T5,C,B,D,E,B,W2T5,C,E,A,B,C,W3T5,B,A,D,E,C,W5T1,B,E,C,C,C,W6T5,A,D,A,E,D,W7T5,C,B,E,E,B,W8T5,D,E,C,A,A,W9T5,B,E,C,A,C,W10T3,B,D,D,E,D,W11T4,D,E,C,E,D,D,B,E,D,B
Student2,W1T5,C,B,D,E,B,W2T5,A,C,A,A,A,W3T5,B,E,D,E,D,,,,,,,W6T5,E,C,D,C,D,W7T5,A,B,B,E,B,W8T5,D,B,C,A,A,W9T5,D,C,C,A,C,W10T3,A,C,D,C,D,W11T4,C,B,B,E,C,D,A,B,D,C
Student13,W1T3,C,B,D,E,B,W2T3,D,C,E,A,E,W3T3,D,A,B,E,E,,,,,,,W6T3,A,D,A,E,D,W7T3,B,B,D,C,B,W8T3,D,D,E,E,A,W9T3,E,E,C,A,C,,,,,,,,,,,,,,,,,
Student18,,,,,,,W2T4,D,A,A,B,B,W3T4,D,B,A,B,C,W5T4,B,D,C,C,B,W6T4,E,E,B,C,D,W7T4,B,A,A,D,B,W8T4,C,A,E,B,B,W9T4,C,C,B,E,E,W10T2,D,B,C,E,C,,,,,,,,,,,
Student8,W1T4,C,B,E,A,D,W2T4,A,E,E,A,A,W3T4,B,A,A,E,B,W5T4,B,D,C,A,D,W6T4,E,D,A,C,D,W7T4,A,B,B,E,B,,,,,,,W9T4,B,E,C,A,C,,,,,,,,,,,,,,,,,
Student22,W1T1,C,B,D,E,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
