"","Q","Student","Consent","Stage2group","Stage1scoreRAW","Stage1score","Stage2scorePC","Stage2score","Stage2note","Stage3score","ZippGroup"
"1","1","197d562b","Y","70",0,0,NA,NA,"",1,"C0"
"2","1","96d072bc","Y","48",4,1,1,1,"",1,"E4"
"3","1","9eade805","Y","24",0,0,NA,NA,"",1,"C0"
"4","1","fddc5240","Y","40",4,1,NA,NA,"",1,"C1"
"5","1","4f63bdda","Y","14",4,1,1,1,"",1,"E4"
"6","1","0f8e1f20","Y","50",0,0,1,1,"",1,"E2"
"7","1","e532b2e8","Y","45",4,1,1,1,"",1,"E4"
"8","1","058ce7a0","Y","30",4,1,1,1,"",1,"E4"
"9","1","4d841e61","Y","68",4,1,1,1,"",1,"E4"
"10","1","c348425f","Y","62",0,0,0.5,0,"",0,"E1"
"11","1","67af0b83","Y","28",4,1,NA,NA,"",1,"C1"
"12","1","3966c674","Y","17",4,1,1,1,"",1,"E4"
"13","1","ba5ad211","Y","58",4,1,1,1,"",1,"E4"
"14","1","646e6976","Y","41",4,1,NA,NA,"",1,"C1"
"15","1","a2c59239","Y","19",0,0,NA,NA,"",0,"C0"
"16","1","e1f2a406","Y","57",0,0,1,1,"",1,"E2"
"17","1","3ad8b6e0","Y","10",4,1,1,1,"",1,"E4"
"18","1","c13bb686","Y","63",4,1,NA,NA,"",1,"C1"
"19","1","3bdc5834","Y","41",4,1,NA,NA,"",0,"C1"
"20","1","261d4e6f","Y","40",4,1,NA,NA,"",1,"C1"
"21","1","5aff7169","Y","14",4,1,1,1,"",1,"E4"
"22","1","710b15d8","Y","13",4,1,NA,NA,"",1,"C1"
"23","1","e9d971d7","Y","58",0,0,1,1,"",1,"E2"
"24","1","a6215706","Y","65",4,1,NA,NA,"",1,"C1"
"25","1","5f4f6a19","Y","13",0,0,NA,NA,"",1,"C0"
"26","1","da38b7d6","Y","70",0,0,NA,NA,"",1,"C0"
"27","1","2d9b726e","Y","67",0,0,1,1,"",1,"E2"
"28","1","5db36a2e","Y","6",4,1,1,1,"",1,"E4"
"29","1","f60ef2f2","Y","13",0,0,NA,NA,"",1,"C0"
"30","1","a4267f3d","Y","49",4,1,1,1,"",1,"E4"
"31","1","3e9bfda8","Y","8",4,1,1,1,"",1,"E4"
"32","1","981d4269","Y","5",0,0,1,1,"",1,"E2"
"33","1","9c96c8a9","Y","9",4,1,1,1,"",1,"E4"
"34","1","897c4335","Y","34",4,1,1,1,"",1,"E4"
"35","1","90b7c0f8","Y","52",0,0,1,1,"",1,"E2"
"36","1","b9fda6b0","Y","32",0,0,NA,NA,"",1,"C0"
"37","1","5b272c3b","Y","30",4,1,1,1,"",0,"E4"
"38","1","c63f768d","Y","71",0,0,1,1,"",1,"E2"
"39","1","eecf2ed6","Y","44",0,0,1,1,"",1,"E2"
"40","1","b303b391","Y","48",0,0,1,1,"",1,"E2"
"41","1","b3b61219","Y","48",4,1,1,1,"",0,"E4"
"42","1","03aec73b","Y","58",4,1,1,1,"",1,"E4"
"43","1","72379027","Y","52",4,1,1,1,"",0,"E4"
"44","1","5e2447b3","Y","24",4,1,NA,NA,"",1,"C1"
"45","1","86992d74","Y","24",0,0,NA,NA,"",1,"C0"
"46","1","a55fdf0e","Y","48",0,0,1,1,"",1,"E2"
"47","1","02787d34","Y","49",4,1,1,1,"",1,"E4"
"48","1","6344ac17","Y","8",0,0,1,1,"",1,"E2"
