"","Q","Stage1score","Stage2score","Stage3score","Stage4score","Student","Stage2group","Stage1","Stage2","Stage3","Stage4","ZippGroup"
"1","Q1a",1,1,1,NA,"S1",4,TRUE,TRUE,TRUE,NA,4
"2","Q1a",1,1,1,NA,"S2",4,TRUE,TRUE,TRUE,NA,4
"3","Q1a",1,1,0,NA,"S3",1,TRUE,TRUE,FALSE,NA,4
"4","Q1a",0,1,NA,NA,"S4",4,FALSE,TRUE,NA,NA,2
"5","Q1a",0,1,NA,NA,"S5",6,FALSE,TRUE,NA,NA,2
"6","Q1a",0,1,1,NA,"S6",1,FALSE,TRUE,TRUE,NA,2
"8","Q1a",1,1,1,NA,"S8",6,TRUE,TRUE,TRUE,NA,4
"9","Q1a",1,1,1,NA,"S9",6,TRUE,TRUE,TRUE,NA,4
"10","Q1a",1,1,1,NA,"S10",1,TRUE,TRUE,TRUE,NA,4
"11","Q1a",1,1,1,NA,"S11",2,TRUE,TRUE,TRUE,NA,4
"12","Q1a",1,1,1,NA,"S12",9,TRUE,TRUE,TRUE,NA,4
"13","Q1a",0,1,1,NA,"S13",9,FALSE,TRUE,TRUE,NA,2
"14","Q1a",0,1,1,NA,"S14",2,FALSE,TRUE,TRUE,NA,2
"15","Q1a",1,1,1,NA,"S15",2,TRUE,TRUE,TRUE,NA,4
"16","Q1a",1,1,1,NA,"S16",5,TRUE,TRUE,TRUE,NA,4
"17","Q1a",0,1,0,NA,"S17",5,FALSE,TRUE,FALSE,NA,2
"18","Q1a",0,1,1,NA,"S18",9,FALSE,TRUE,TRUE,NA,2
"19","Q1a",1,1,1,NA,"S19",5,TRUE,TRUE,TRUE,NA,4
"21","Q1a",1,1,1,NA,"S21",7,TRUE,TRUE,TRUE,NA,4
"22","Q1a",0,0,NA,NA,"S22",3,FALSE,FALSE,NA,NA,1
"24","Q1a",0,0,1,NA,"S24",3,FALSE,FALSE,TRUE,NA,1
"25","Q1a",0,0,NA,NA,"S25",3,FALSE,FALSE,NA,NA,1
"26","Q1a",1,1,1,NA,"S26",7,TRUE,TRUE,TRUE,NA,4
